1003,Sarah Thompson,sarah.t@gmail.com,2023-10-30,Samsung Galaxy S22,2,799,United States of America,Shipped
1004,Tom O'brien,tom.obrien@gmail.com,2023-11-05,Google Pixel,1,599,United Kingdom,Delivered
1005,Mary Johnson,mary.j@gmail.com,2023-11-06,Samsung Galaxy S22,2,799,United Kingdom,Returned
1006,Ankit Patel,ankit@@patel.com,2023-11-07,Others,1,0,India,Pending
1007,John Smith,john.smith@gmail.com,2023-11-02,Apple Watch,1,399,United States of America,Delivered
1008,Carlos Hernandez,carlos@hernandez.com,2023-11-08,iPhone 14,1,1099,Others,Others
1009,Unknown,jessica@abc.com,2023-11-09,MacBook Pro,1,1299,Canada,Returned
1010,Aisha Khan,aisha.khan@outlook,2023-11-10,MacBook Pro,1,1299,Canada,Returned
1011,Sarah Thompson,sarah.t@gmail.com,2023-10-30,Samsung Galaxy S22,2,799,United States of America,Refunded
1014,Ankit Patel,ankit@patel.com,2023-11-07,Samsung Galaxy S22,1,799,India,Pending
1015,Carlos Hernandez,carlos@hernandez.com,2023-11-08,iPhone 14,1,1099,Spain,Delivered
